,Phone_name,Rating,Reviews,Phone_price,Discounted_price,Phone_image
117, Club Mobile Club Speaker,,,"Rs 3,999","Rs 3,299",https://images.priceoye.pk/club-mobile-club-speaker-pakistan-priceoye-idv50-100x100.webp
118, Spice S404,,,"Rs 2,399","Rs 2,349",https://images.priceoye.pk/spice-s404-pakistan-priceoye-3xlmz-100x100.webp
119, Nothing Phone 3,,,"Rs 329,900","Rs 310,999",https://images.priceoye.pk/nothing-phone-3-pakistan-priceoye-yg8o6-100x100.webp
120, Sparx Neo 15 Pro,,,"Rs 23,500","Rs 21,499",https://images.priceoye.pk/sparx-neo-15-pro-pakistan-priceoye-a54gr-100x100.webp
121, Tecno Spark Go 3,,,,"Rs 29,999",https://images.priceoye.pk/tecno-spark-go-3-pakistan-priceoye-iqj79-100x100.webp
122, Oppo Reno 15F,,,,"Rs 119,999",https://images.priceoye.pk/oppo-reno-15f-pakistan-priceoye-ifmn1-100x100.webp
123, Honor X5c,,,"Rs 27,999","Rs 26,199",https://images.priceoye.pk/honor-x5c-pakistan-priceoye-u3d45-100x100.webp
124, Vivo Y05,,,"Rs 33,999","Rs 30,999",https://images.priceoye.pk/vivo-y05-pakistan-priceoye-035r8-100x100.webp
125, Digit Prime,,,,"Rs 2,399",https://images.priceoye.pk/digit-prime-pakistan-priceoye-505rf-100x100.webp
126, Digit Legend,,,,"Rs 2,249",https://images.priceoye.pk/digit-legend-pakistan-priceoye-lkwys-100x100.webp
127, Faywa J2 CLASSIC,,,"Rs 3,249","Rs 2,949",https://images.priceoye.pk/faywa-j2-classic-pakistan-priceoye-5wlxq-100x100.webp
128, Nokia 106 2023,4.9,147.0,"Rs 4,999","Rs 4,699",https://images.priceoye.pk/nokia-106-2023-pakistan-priceoye-x57fb-100x100.webp
129, Xiaomi Redmi Note 13,4.9,596.0,"Rs 52,999","Rs 45,499",https://images.priceoye.pk/xiaomi-redmi-note-13-pakistan-priceoye-kbzfb-100x100.webp
130, itel Flip 1,4.7,36.0,"Rs 6,399","Rs 3,399",https://images.priceoye.pk/itel-flip-1-pakistan-priceoye-afslh-100x100.webp
131, Tecno Spark 20 Pro Plus,4.8,157.0,,"Rs 59,999",https://images.priceoye.pk/tecno-spark-20-pro-plus-pakistan-priceoye-86rce-100x100.webp
132, Itel S24,4.8,237.0,,"Rs 33,999",https://images.priceoye.pk/itel-s24-pakistan-priceoye-sabyj-100x100.webp
133, VGO TEL Beauty Max,5.0,1.0,,"Rs 3,649",https://images.priceoye.pk/vgo-tel-beauty-max-pakistan-priceoye-3pypt-100x100.webp
134, Faywa Smart 4G,4.9,14.0,"Rs 9,499","Rs 7,199",https://images.priceoye.pk/faywa-smart-4g-pakistan-priceoye-h2wy8-100x100.webp
135, Memobile ismart,3.3,3.0,"Rs 3,299","Rs 3,249",https://images.priceoye.pk/memobile-ismart-pakistan-priceoye-5q1at-100x100.webp
136, GFive 4G Style,5.0,1.0,"Rs 8,000","Rs 7,499",https://images.priceoye.pk/gfive-4g-style-pakistan-priceoye-r3llt-100x100.webp
137, Samsung Galaxy Z Fold 6,5.0,2.0,"Rs 604,999","Rs 485,999",https://images.priceoye.pk/samsung-galaxy-z-fold-6-pakistan-priceoye-6jsny-100x100.webp
138, GFive Music 300,3.0,3.0,,"Rs 2,499",https://images.priceoye.pk/gfive-music-300-pakistan-priceoye-9s7fg-100x100.webp
139, Xiaomi Redmi Note 14,4.9,198.0,"Rs 55,999","Rs 48,799",https://images.priceoye.pk/xiaomi-redmi-note-14-pakistan-priceoye-xhh9b-100x100.webp
140, Club Mobile 15 pro Metal,5.0,1.0,,"Rs 3,199",https://images.priceoye.pk/club-mobile-15-pro-metal-pakistan-priceoye-kx0tr-100x100.webp
141, E-TACHI B01,4.0,1.0,"Rs 2,699","Rs 2,349",https://images.priceoye.pk/e-tachi-b01-pakistan-priceoye-m0rcy-100x100.webp
